t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
0,0,0.268941,1,0,0.000021,1,0.268941,0,0,0.500000,stable,1,0,0,0,1
0.100000,0.474239,0.268941,1,0,0.000011,1,0.268941,0,0,0.500000,stable,0.158080,0,0,0,1
0.200000,0.767335,0.268941,1,0,0.000009,1,0.268941,0,0,0.500000,stable,0.000005,0,0,0,1
0.300000,0.767335,0.268941,1,0,0.000009,1,0.268941,0,0.000000,0.500000,stable,0.158071,0,0,0,1
0.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,13.681139,0.500000,stable,0.255770,0,0,0,1
0.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,36.333565,0.500000,stable,0.255773,0,0,0,1
0.600000,-0.474239,0.268941,1,0,0.000009,1,0.268941,0,51.206674,0.500000,stable,0.158080,0,0,0,1
0.700000,-0.767335,0.268941,1,0,0.000009,1,0.268941,0,90.611524,0.500000,stable,0.000005,0,0,0,1
0.800000,-0.767335,0.268941,1,0,0.000009,1,0.268941,0,181.580517,0.500000,stable,0.158071,0,0,0,1
0.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,294.948567,0.500000,stable,0.255770,0,0,0,1
1,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,367.038437,0.500000,stable,0.255773,0,0,0,1.618034
1.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,368.106229,0.500000,stable,0.158080,0,0,0,1.618034
1.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,332.161276,0.500000,stable,0.000005,0,0,0,1.618034
1.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,313.416093,0.500000,stable,0.158071,0,0,0,1.618034
1.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,326.239150,0.500000,stable,0.255770,0,0,0,1.618034
1.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,340.879056,0.500000,stable,0.255773,0,0,0,1.618034
1.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,332.309645,0.500000,stable,0.158080,0,0,0,1.618034
1.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,314.663168,0.500000,stable,0.000005,0,0,0,1.618034
1.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,319.257755,0.500000,stable,0.158071,0,0,0,1.618034
1.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,350.320911,0.500000,stable,0.255770,0,0,0,1.618034
2,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,378.360830,0.500000,stable,0.255773,0,0,0,1.618034
2.100000,0.474239,0.268941,1,0,0.000011,1,0.268941,0,377.822500,0.500000,stable,0.158080,0,0,0,1.618034
2.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,357.809823,0.500000,stable,0.000005,0,0,0,1.618034
2.300000,0.767335,0.268941,1,0,0.000011,1,0.268941,0,347.139356,0.500000,stable,0.158071,0,0,0,1.618034
2.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,356.543278,0.500000,stable,0.255770,0,0,0,1.618034
2.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,368.302905,0.500000,stable,0.255773,0,0,0,1.618034
2.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,363.907068,0.500000,stable,0.158080,0,0,0,1.618034
2.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,349.982752,0.500000,stable,0.000005,0,0,0,1.618034
2.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,348.163204,0.500000,stable,0.158071,0,0,0,1.618034
2.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,364.735961,0.500000,stable,0.255770,0,0,0,1.618034
3,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,381.874333,0.500000,stable,0.255773,0,0,0,1.618034
3.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,381.270209,0.500000,stable,0.158080,0,0,0,1.618034
3.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,367.412856,0.500000,stable,0.000005,0,0,0,1.618034
3.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,359.970797,0.500000,stable,0.158071,0,0,0,1.618034
3.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,367.211992,0.500000,stable,0.255770,0,0,0,1.618034
3.500000,0.000000,0.268941,1,0,0.000012,1,0.268941,0,376.639121,0.500000,stable,0.255773,0,0,0,1.618034
3.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,373.945344,0.500000,stable,0.158080,0,0,0,1.618034
3.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,363.067404,0.500000,stable,0.000005,0,0,0,1.618034
3.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,360.237168,0.500000,stable,0.158071,0,0,0,1.618034
3.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,371.283444,0.500000,stable,0.255770,0,0,0,1.618034
4,-0.000000,0.268941,1,0,0.000011,1,0.268941,0,383.582217,0.500000,stable,0.255773,0,0,0,1.618034
4.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,383.036109,0.500000,stable,0.158080,0,0,0,1.618034
4.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,372.439713,0.500000,stable,0.000005,0,0,0,1.618034
4.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,366.728911,0.500000,stable,0.158071,0,0,0,1.618034
4.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,372.586403,0.500000,stable,0.255770,0,0,0,1.618034
4.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,380.384499,0.500000,stable,0.255773,0,0,0,1.618034
4.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,378.528938,0.500000,stable,0.158080,0,0,0,1.618034
4.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,369.689093,0.500000,stable,0.000005,0,0,0,1.618034
4.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,366.799943,0.500000,stable,0.158071,0,0,0,1.618034
4.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,375.011816,0.500000,stable,0.255770,0,0,0,1.618034
5,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,384.591310,0.500000,stable,0.255773,0,0,0,1.618034
5.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.109499,0.500000,stable,0.158080,0,0,0,1.618034
