event_type,t_start,t_end,metric,value,severity
phase_cycle,15,23,S(t),8,low
phase_cycle,35,43,S(t),8,low
phase_cycle,65,73,S(t),8,low
phase_cycle,85,93,S(t),8,low
phase_cycle,115,123,S(t),8,low
phase_cycle,135,143,S(t),8,low
phase_cycle,165,173,S(t),8,low
phase_cycle,185,193,S(t),8,low
phase_cycle,215,223,S(t),8,low
phase_cycle,235,243,S(t),8,low
phase_cycle,265,273,S(t),8,low
phase_cycle,285,293,S(t),8,low
phase_cycle,315,323,S(t),8,low
phase_cycle,335,343,S(t),8,low
phase_cycle,365,373,S(t),8,low
phase_cycle,385,393,S(t),8,low
phase_cycle,415,423,S(t),8,low
phase_cycle,435,443,S(t),8,low
phase_cycle,465,473,S(t),8,low
phase_cycle,485,493,S(t),8,low
phase_cycle,515,523,S(t),8,low
phase_cycle,535,543,S(t),8,low
phase_cycle,565,573,S(t),8,low
phase_cycle,585,593,S(t),8,low
phase_cycle,615,623,S(t),8,low
phase_cycle,635,643,S(t),8,low
phase_cycle,665,673,S(t),8,low
phase_cycle,685,693,S(t),8,low
phase_cycle,715,723,S(t),8,low
phase_cycle,735,743,S(t),8,low
phase_cycle,765,773,S(t),8,low
phase_cycle,785,793,S(t),8,low
phase_cycle,815,823,S(t),8,low
phase_cycle,835,843,S(t),8,low
phase_cycle,865,873,S(t),8,low
phase_cycle,885,893,S(t),8,low
phase_cycle,915,923,S(t),8,low
phase_cycle,935,943,S(t),8,low
phase_cycle,965,973,S(t),8,low
