event_type,t_start,t_end,metric,value,severity,scale
anomaly,250,299,S(t),8.597406,medium,
anomaly,249,298,C(t),43.563028,high,
anomaly,250,299,C(t),13.870450,high,
anomaly,251,276,C(t),6.074502,medium,
anomaly,252,265,C(t),4.420249,low,
anomaly,253,259,C(t),3.585453,low,
phase_cycle,5,40,S(t),35,medium,
phase_cycle,6,34,S(t),28,medium,
phase_cycle,7,31,S(t),24,medium,
phase_cycle,8,29,S(t),21,medium,
phase_cycle,9,27,S(t),18,medium,
phase_cycle,10,26,S(t),16,medium,
phase_cycle,11,25,S(t),14,medium,
phase_cycle,12,25,S(t),13,medium,
phase_cycle,13,25,S(t),12,medium,
phase_cycle,14,24,S(t),10,medium,
phase_cycle,15,24,S(t),9,low,
phase_cycle,16,24,S(t),8,low,
phase_cycle,17,24,S(t),7,low,
phase_cycle,18,24,S(t),6,low,
phase_cycle,19,24,S(t),5,low,
phase_cycle,118,123,S(t),5,low,
phase_cycle,119,124,S(t),5,low,
phase_cycle,120,127,S(t),7,low,
phase_cycle,121,128,S(t),7,low,
phase_cycle,122,130,S(t),8,low,
phase_cycle,123,131,S(t),8,low,
phase_cycle,124,132,S(t),8,low,
phase_cycle,125,132,S(t),7,low,
phase_cycle,126,133,S(t),7,low,
phase_cycle,127,132,S(t),5,low,
phase_cycle,142,165,S(t),23,medium,
phase_cycle,143,163,S(t),20,medium,
phase_cycle,144,162,S(t),18,medium,
phase_cycle,145,161,S(t),16,medium,
phase_cycle,146,160,S(t),14,medium,
phase_cycle,147,161,S(t),14,medium,
phase_cycle,148,160,S(t),12,medium,
phase_cycle,149,160,S(t),11,medium,
phase_cycle,150,160,S(t),10,medium,
phase_cycle,151,159,S(t),8,low,
phase_cycle,152,160,S(t),8,low,
phase_cycle,153,160,S(t),7,low,
phase_cycle,154,161,S(t),7,low,
phase_cycle,155,160,S(t),5,low,
phase_cycle,156,161,S(t),5,low,
phase_cycle,157,162,S(t),5,low,
phase_cycle,255,260,S(t),5,low,
phase_cycle,256,262,S(t),6,low,
phase_cycle,257,263,S(t),6,low,
phase_cycle,258,266,S(t),8,low,
phase_cycle,259,267,S(t),8,low,
phase_cycle,260,268,S(t),8,low,
phase_cycle,261,268,S(t),7,low,
phase_cycle,262,268,S(t),6,low,
phase_cycle,263,268,S(t),5,low,
phase_cycle,278,302,S(t),24,medium,
phase_cycle,279,300,S(t),21,medium,
phase_cycle,280,298,S(t),18,medium,
phase_cycle,281,297,S(t),16,medium,
