event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,250,350,A_mean(t),0.962250,high,10/100
fractal_pattern,300,400,mean_high_effort,0.894547,medium,10/100
fractal_pattern,350,450,mean_high_effort,0.892643,medium,10/100
fractal_pattern,400,500,mean_high_effort,0.890479,medium,10/100
fractal_pattern,450,550,mean_high_effort,0.889070,medium,10/100
fractal_pattern,500,600,mean_high_effort,0.887716,medium,10/100
fractal_pattern,550,650,mean_high_effort,0.886234,medium,10/100
fractal_pattern,600,700,mean_high_effort,0.886285,medium,10/100
fractal_pattern,650,750,mean_high_effort,0.885170,medium,10/100
fractal_pattern,700,800,mean_high_effort,0.884537,medium,10/100
fractal_pattern,750,850,mean_high_effort,0.884339,medium,10/100
fractal_pattern,800,900,mean_high_effort,0.881616,medium,10/100
fractal_pattern,850,950,mean_high_effort,0.883956,medium,10/100
