t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
0.000000,1.451980,1.000000,0.455943,0.000000,0.000016,-0.031018,0.559155,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.100000,1.499679,1.000000,0.455943,0.000000,0.000008,-0.024934,0.562771,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.200000,1.544356,1.000000,0.455943,0.000000,0.000007,-0.018811,0.566385,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.300000,1.585916,1.000000,0.455943,0.000000,0.000006,-0.012650,0.570000,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.400000,1.624268,1.000000,0.455943,0.000000,0.000006,-0.006449,0.573615,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.500000,1.659330,1.000000,0.455943,0.000000,0.000006,-0.000206,0.577231,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.600000,1.691026,1.000000,0.455943,0.000000,0.000006,0.006079,0.580849,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.700000,1.719287,1.000000,0.455943,0.000000,0.000005,0.012409,0.584471,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.800000,1.744051,1.000000,0.455943,0.000000,0.000006,0.018785,0.588096,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
0.900000,1.765260,1.000000,0.455943,0.000000,0.000005,0.025209,0.591726,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.000000,1.782866,1.000000,0.455943,0.000000,0.000005,0.031683,0.595361,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.100000,1.796823,1.000000,0.455943,0.000000,0.000005,0.038208,0.599004,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.200000,1.807095,1.000000,0.455943,0.000000,0.000005,0.044788,0.602654,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.300000,1.813649,1.000000,0.455943,0.000000,0.000005,0.051423,0.606313,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.400000,1.816459,1.000000,0.455943,0.000000,0.000005,0.058115,0.609981,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.500000,1.815504,1.000000,0.455943,0.000000,0.000005,0.064867,0.613659,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.600000,1.810770,1.000000,0.455943,0.000000,0.000005,0.071680,0.617349,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.700000,1.802248,1.000000,0.455943,0.000000,0.000005,0.078555,0.621050,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.800000,1.789933,1.000000,0.455943,0.000000,0.000005,0.085494,0.624764,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
1.900000,1.773829,1.000000,0.455943,0.000000,0.000005,0.092500,0.628490,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.000000,1.753942,1.000000,0.455943,0.000000,0.000005,0.099571,0.632230,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.100000,1.730286,1.000000,0.455943,0.000000,0.000005,0.106711,0.635983,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.200000,1.702879,1.000000,0.455943,0.000000,0.000005,0.113919,0.639749,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.300000,1.671746,1.000000,0.455943,0.000000,0.000005,0.121196,0.643530,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.400000,1.636917,1.000000,0.455943,0.000000,0.000005,0.128543,0.647324,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.500000,1.598428,1.000000,0.455943,0.000000,0.000005,0.135959,0.651132,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.600000,1.556320,1.000000,0.455943,0.000000,0.000005,0.143445,0.654953,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.700000,1.510642,1.000000,0.455943,0.000000,0.000005,0.151001,0.658787,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.800000,1.461447,1.000000,0.455943,0.000000,0.000005,0.158624,0.662633,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
2.900000,1.408795,1.000000,0.455943,0.000000,0.000005,0.166315,0.666491,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.000000,1.352754,1.000000,0.455943,0.000000,0.000005,0.174073,0.670359,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.100000,1.293395,1.000000,0.455943,0.000000,0.000005,0.181895,0.674238,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.200000,1.230800,1.000000,0.455943,0.000000,0.000005,0.189780,0.678125,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.300000,1.165054,1.000000,0.455943,0.000000,0.000005,0.197726,0.682020,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.400000,1.096250,1.000000,0.455943,0.000000,0.000005,0.205731,0.685921,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.500000,1.024488,1.000000,0.455943,0.000000,0.000005,0.213791,0.689827,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
3.600000,0.949877,1.000000,0.455943,0.000000,0.000005,0.221904,0.693736,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
